Show,A,Z,N,symb,symb A,radius, unc, energy, unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quad , unc,Qb-,unc,Qb- n,unc,Qa, unc, Qec, unc,Sn,unc, Sp,unc,Binding/A,unc,Total BE MeV,atomic mass, unc, mass excess,unc
1,18,8,10,O,O 18,2.7726,56,0, ,0+, ,STABLE, , , , , , , , , , , , , ,1, , , , ,-1655.929,463,-10805.83,25,-6227.62,0,-13895.984,19,8045.37,0,15941.86,15,7767.097,0,139.807746,17999159.61284,76,-782.8156,71
0,18,9,9,F,F 18,,,0, ,1+, ,109.77,5,m,6586.2,3,EC+B+,100, , , , , , , ,0, , , , ,-4444.501,589,-23698.65,57,-4415.22,46,1655.929,463,9149.91,53,5607.09,46,7631.638,26,137.369484,18000937.325,497,873.113,463
0,18,10,8,Ne,Ne 18,2.9714,76,0, ,0+, ,1672,8,ms,1.672,0.008,EC+B+,100, , , , , , , ,1, , , , ,-19720.374,93882,-37926.92,1001,-5115.08,36,4444.501,588,19254.15,51,3923.06,44,7341.257,20,132.142626,18005708.693,390,5317.614,363
0,18,11,7,Na,Na 18,,,0, ,(1)-,LT,0.2, ,MeV,2.28118857535693E-21, ,P,100, , , , , , , , , , , , ,,,,,-9351.33,102,19720.374,94,18206.54,1006,-1248.57,94,6202.217,5216,111.639906,18026879.386,100785,25037.988,93881
0,19,5,14,B,B 19,,,0, ,3/2-, ,2.92,13,ms,0.00292,0.00013,B-,100, ,B-N,71.8, ,B-2N,16, , , , , , ,27356.492,534496,26779.66,526,,,,,93.71,564,,,4719.634,27651,89.673046,19064166,564000,59770.244,525363
0,19,6,13,C,C 19,,,0, ,(1/2+), ,46.3,40,ms,0.0463,0.004,B-,100, ,B-N,47,3,B-2N,7,3, , , , , ,16557.471,99748,11229.27,100,-19836.98,193,-27356.492,534,576.83,94,26667.85,227,6118.273,5178,116.247187,19034797.596,105625,32413.752,98389
0,19,7,12,N,N 19,,,0, , , ,271,8,ms,0.271,0.008,B-,100, ,B-N,54.6,1.4, , , , , , , , ,12523.424,16614,8567.78,16,-15526.88,27,-16557.47,100,5328.2,25,16351.95,34,6948.543,863,132.022317,19017022.419,17610,15856.282,16404
0,19,8,11,O,O 19,,,0, ,5/2+, ,26.88,5,s,26.88,0.05,B-,100, , , , , , , ,3/2, , , , ,4820.302,2637,-5611.57,268,-8965.2,276,-12523.424,17,3955.64,264,17069.28,19,7566.495,139,143.763405,19003577.97,2830,3332.858,2637
2,19,9,10,F,F 19,2.8976,25,0, ,1/2+, ,STABLE, , , , , , , , , , , , , ,1/2, , , , ,-3239.494,160,-14876.38,36,-4013.8,0,-4820.302,2637,10431.87,46,7993.6,0,7779.018,0,147.801342,18998403.16288,93,-1487.4442,86
0,19,10,9,Ne,Ne 19,3.0082,40,0, ,1/2+, ,17.22,2,s,17.22,0.02,EC+B+,100, , , , , , , ,1/2, , , , ,-11177.34,10536,-31357.25,94,-3528.47,52,3239.494,16,11636.88,40,6410.03,49,7567.343,8,143.779517,19001880.903,171,1752.05,160
